text,date
Booking.com 최대 12% 캐시백,2019.12.09 ~ 2020.02.09
"새해, 빛나는 유럽 쇼핑",2020.01.18 ~ 2020.02.09
"18만원 청구할인 혜택 스마트폰 구입, 스마트 하게!",2020.01.01 ~ 2020.01.31
2020년 무신사 할인혜택,2020.01.20 ~ 2020.01.31
2020년에도 외국어가 안되면 역시 시원스쿨!,2020.01.01 ~ 2020.01.31
Happy New Year 2020! 세뱃돈을 쏩니다!,2020.01.02 ~ 2020.01.31
KB국민 롯데월드 제휴카드 종합이용권 할인 이벤트,2020.01.01 ~ 2020.01.31
KB국민 마스터카드 해외이용수수료 전액 포인트리 지급,2020.01.01 ~ 2020.01.31
KB국민 비자카드 해외이용수수료 전액 포인트리 지급,2020.01.01 ~ 2020.01.31
KB국민 유니온페이카드 해외이용수수료 전액 포인트리 지급,2020.01.01 ~ 2020.01.31
KB국민기업카드 APP 출시기념 이벤트!,2019.12.23 ~ 2020.01.31
"KB국민카드 간편추천 추천하면 나는 5만원, 친구는 연회비 캐시백",2020.01.01 ~ 2020.01.31
PUSH 동의하세요! 최대 30만원 캐시백!,2019.01.06 ~ 2020.01.31
[월간 KB체크] 1월 '새 출발',2020.01.01 ~ 2020.01.31
"가온플래티늄, BeV Ⅲ, BeV V 카드 온라인 발급 회원 연회비 최대 5만원 캐시백",2020.01.01 ~ 2020.01.31
개인사업자 전용 카드 연회비 100% 캐시백,2020.01.01 ~ 2020.01.31
도심 온천스파 1300 OPEN 웅진플레이도시 만원의 행복!,2019.12.21 ~ 2020.01.31
라이프샵 여행 해외호텔 최대 10% 할인,2020.01.02 ~ 2020.01.31
라이프샵 컬처 화제의 뮤지컬/전시 더블할인 특가,2020.01.01 ~ 2020.01.31
쇼핑 맛집 브랜디 새해 할인!,2020.01.23 ~ 2020.01.31
심심하면 wavve~ wavve하면 캐시백!,2020.01.01 ~ 2020.01.31
아고다! Flash Sale! 최대 12% 할인!,2020.01.02 ~ 2020.01.31
암웨이 엣모스피어 스카이 공기청정기 10개월 무이자 할부,2019.12.19 ~ 2020.01.31
에버랜드 제휴카드 2020 할인 특가!,2020.01.01 ~ 2020.01.31
"온라인 신규 발급 회원, 연회비 100% 캐시백",2020.01.01 ~ 2020.01.31
왓챠플레이 프리미엄 이용권 출시! 3개월간 월 5천원 할인,2019.12.23 ~ 2020.01.31
체크카드 온라인 신규발급 트리플 혜택!,2020.01.02 ~ 2020.01.31
클릭! 쉽고 빠르고 편리한 KB국민 신용대출!,2020.01.01 ~ 2020.01.31
탄탄대로 오토카드 5만원 캐시백,2020.01.01 ~ 2020.01.31
할인 받고 경품 받는 라이프샵 혜택 여행!,2020.01.02 ~ 2020.01.31
항공권 예약 라이프샵 Easy~ 국제선 항공권 최대 7% 할인,2020.01.06 ~ 2020.01.31
해외렌터카 렌탈카스닷컴 10% 할인,2020.01.02 ~ 2020.01.31
해외에서도 5~2개월 무이자 할부,2020.01.01 ~ 2020.01.31
해외여행 필수품 포켓와이파이 최대 3천원 즉시할인!,2020.01.01 ~ 2020.01.31
해외이용 시 포인트리 최대 4만점!,2020.01.01 ~ 2020.01.31
해외직구 X 비타트라 즉시할인 * 추천상품 특가!,2019.12.30 ~ 2020.01.31
따뜻한 명절 당신께 만큼은 정관장 청구할인,2020.01.03 ~ 2020.01.29
새해 할인쇼핑도 지그재그에서!,2020.01.10 ~ 2020.01.23
쿠팡 2020 설 선물세트 2만원 즉시할인!,2020.01.15 ~ 2020.01.21
대한민국 교육박람회 무료 입장,2020.01.16 ~ 2020.01.18
"커피, 편의점도 Easy on으로 OK~ KB국민 Easy on카드 상품권 혜택!",2019.12.02 ~ 2020.01.13
달콤한 초콜릿 축제! 살롱 뒤 쇼콜라,2020.01.10 ~ 2020.01.12
KB국민 앱카드 교통서비스 런칭 이벤트!,2019.12.09 ~ 2020.01.08
12월의 선물! 해외이용 캐시백 이벤트,2019.12.01 ~ 2019.12.31
"18만원 청구할인 혜택 스마트폰 구입, 스마트 하게!",2019.12.01 ~ 2019.12.31
"3만장 한정, 힙트로 (Hip-Retro)한 레터링 체크카드 출시 이벤트",2019.11.12 ~ 2019.12.31
"5~2, 10개월 무이자할부",2019.10.07 ~ 2019.12.31
Amazon.com X KB국민카드 Adieu 2019 이벤트,2019.12.20 ~ 2019.12.31
BeV Ⅸ 카드 회원 아시아나항공 비즈니스 좌석 할인,2019.09.23 ~ 2019.12.31
"KB국민 Liiv M 카드 이용하고, 캐시백 받고",2019.11.04 ~ 2019.12.31
KB국민 국방(충성)멤버쉽카드 연말연시 최대 50만원 캐시백!,2019.12.01 ~ 2019.12.31
KB국민 롯데월드 제휴카드 종합이용권 할인 이벤트,2019.12.01 ~ 2019.12.31
KB국민 마스터카드 Uber 국내/해외 4개국 할인,2019.07.15 ~ 2019.12.31
KB국민 우수고객님만을 위한 하이원리조트 객실 특별할인!,2019.11.18 ~ 2019.12.31
"KB국민카드 간편추천 추천하면 나는 5만원, 친구는 연회비 캐시백",2019.12.01 ~ 2019.12.31
KB국민카드와 윈도우 체인지 하세요!,2019.11.18 ~ 2019.12.31
KCC홈인테리어 집꾸미고 혜택 받자!,2019.11.16 ~ 2019.12.31
KLPGA 안송이 우승 기념 갤럭시폴드 / 아이폰11 총 237대 증정!,2019.12.01 ~ 2019.12.31
"PUSH 동의하세요! 알림서비스도, 쿠폰 사용도 Easy!",2019.12.06 ~ 2019.12.31
VIP 고객대상 호텔스타(Hotel Star) 「가을&행복」 이벤트,2019.10.11 ~ 2019.12.31
"커피, 편의점도 Easy on으로 OK~ KB국민 Easy on카드 상품권 혜택!",2019.12.02 ~ 2020.01.13
달콤한 초콜릿 축제! 살롱 뒤 쇼콜라,2020.01.10 ~ 2020.01.12
KB국민 앱카드 교통서비스 런칭 이벤트!,2019.12.09 ~ 2020.01.08
12월의 선물! 해외이용 캐시백 이벤트,2019.12.01 ~ 2019.12.31
"18만원 청구할인 혜택 스마트폰 구입, 스마트 하게!",2019.12.01 ~ 2019.12.31
"3만장 한정, 힙트로 (Hip-Retro)한 레터링 체크카드 출시 이벤트",2019.11.12 ~ 2019.12.31
"5~2, 10개월 무이자할부",2019.10.07 ~ 2019.12.31
Amazon.com X KB국민카드 Adieu 2019 이벤트,2019.12.20 ~ 2019.12.31
BeV Ⅸ 카드 회원 아시아나항공 비즈니스 좌석 할인,2019.09.23 ~ 2019.12.31
"KB국민 Liiv M 카드 이용하고, 캐시백 받고",2019.11.04 ~ 2019.12.31
KB국민 국방(충성)멤버쉽카드 연말연시 최대 50만원 캐시백!,2019.12.01 ~ 2019.12.31
KB국민 롯데월드 제휴카드 종합이용권 할인 이벤트,2019.12.01 ~ 2019.12.31
KB국민 마스터카드 Uber 국내/해외 4개국 할인,2019.07.15 ~ 2019.12.31
KB국민 우수고객님만을 위한 하이원리조트 객실 특별할인!,2019.11.18 ~ 2019.12.31
"KB국민카드 간편추천 추천하면 나는 5만원, 친구는 연회비 캐시백",2019.12.01 ~ 2019.12.31
KB국민카드와 윈도우 체인지 하세요!,2019.11.18 ~ 2019.12.31
KCC홈인테리어 집꾸미고 혜택 받자!,2019.11.16 ~ 2019.12.31
KLPGA 안송이 우승 기념 갤럭시폴드 / 아이폰11 총 237대 증정!,2019.12.01 ~ 2019.12.31
"PUSH 동의하세요! 알림서비스도, 쿠폰 사용도 Easy!",2019.12.06 ~ 2019.12.31
VIP 고객대상 호텔스타(Hotel Star) 「가을&행복」 이벤트,2019.10.11 ~ 2019.12.31
아고다! Flash Sale! 최대 12% 할인!,2019.12.01 ~ 2019.12.31
연말 할인 공연 추천!,2019.12.02 ~ 2019.12.31
"온라인 신규 발급 회원, 연회비 100% 캐시백",2019.12.01 ~ 2019.12.31
외국어가 안되면 역시 시원스쿨!,2019.12.05 ~ 2019.12.31
익스피디아 10% 할인,2019.11.01 ~ 2019.12.31
인싸들의 해외여행 꿀팁! Liiv Mate로 한번에!,2019.11.01 ~ 2019.12.31
잊지 못할 크리스마스 유럽 명품 아울렛 쇼핑,2019.11.14 ~ 2019.12.31
자동으로 혜택 받는 4대 사회보험 자동납부,2019.12.01 ~ 2019.12.31
전기차 충전은 KB국민 그린카드! 50% 캐시백 이거슨 맞지~!,2019.10.07 ~ 2019.12.31
지방세가 물어다 주는 포인트리 체크카드 지방세 결제 이벤트,2019.07.12 ~ 2019.12.31
체크카드 온라인 신규발급 트리플 혜택!,2019.12.02 ~ 2019.12.31
초중고학교납입금(스쿨뱅킹) 자동납부 혜택,2019.11.01 ~ 2019.12.31
"출시! KB 라이프샵폰 18만원 청구할인, 포인트리 5만점 적립",2019.11.01 ~ 2019.12.31
클릭! 쉽고 빠르고 편리한 KB국민 신용대출!,2019.12.01 ~ 2019.12.31
탄탄대로 오토카드 5만원 캐시백,2019.12.01 ~ 2019.12.31
학원비 최대 4만원 캐시백,2019.12.01 ~ 2019.12.31
한국타이어 특정상품 할인 및 사은품 혜택,2019.11.21 ~ 2019.12.31
한샘 키친&바스와 함께하는 리모델링 혜택!,2019.10.01 ~ 2019.12.31
합리적인 행복생활 라이프샵 해외여행 더블 혜택 찬스,2019.12.02 ~ 2019.12.31
해외렌터카 렌탈카스닷컴 10% 할인,2019.12.01 ~ 2019.12.31
해외수수료 아끼는 법! 유니온페이가 정답!,2019.01.01 ~ 2019.12.31
해외에서도 5~2개월 무이자 할부,2019.12.01 ~ 2019.12.31
해외직구X테일리스트 즉시할인 & 추천상품 특가,2019.11.13 ~ 2019.12.31
"현대리바트 몰 맘에 드는 공간, 맘 편한 무이자 할부",2019.10.18 ~ 2019.12.31
호텔스닷컴 15% 할인 + 호텔스닷컴 바우처,2019.11.01 ~ 2019.12.30
[월간 KB체크] 12월 '주말',2019.12.06 ~ 2019.12.29
No pay! No gain! 간편결제 캐시백 시즌 3,2019.11.22 ~ 2019.12.22
끝내주는 2019 웨딩세일! 아이웨딩의 아이위크,2019.11.29 ~ 2019.12.22
아듀 2019~ 목표 달성 캐시백!,2019.11.21 ~ 2019.12.20
체크카드 쓰고 받자! 13월의 월급,2019.11.11 ~ 2019.12.20
항공권 예약 라이프샵 Easy~ 국제선 항공권 최대 10% 할인,2019.12.03 ~ 2019.12.20
KB국민카드와 함께하는 미리 브랜디마스! 2천원 즉시할인 선물!,2019.12.13 ~ 2019.12.19
크리스마스 맞이 Apple 전제품 10% 캐시백,2019.12.09 ~ 2019.12.17
VIP회원 무비스타(Movie Star)! 『천문 : 하늘에 묻는다』,2019.12.11 ~ 2019.12.16
"리브모바일 (Liiv M), 더 알뜰하게 시작하는 방법",2019.11.04 ~ 2019.12.16
꿀잠 에이스침대 5만원 신세계 상품권 꿀이득!,2019.11.16 ~ 2019.12.15
KB국민 Easy fly 티타늄카드 최대 3만원 캐시백!,2019.10.23 ~ 2019.12.13
"먹는 기쁨 받는 즐거움,KB국민 Easy on카드 상품권 혜택!",2019.11.01 ~ 2019.12.13
지그재그에서 쇼핑하면? 최대 1만원 할인!,2019.12.02 ~ 2019.12.12
해외직구X몰리(mallree) 라이프샵 최대 $10 보너스 캐시백!,2019.11.13 ~ 2019.12.12
"연말엔 더 챙겨드릴게요, 정관장 눈건강 캡슐 증정 혜택",2019.11.20 ~ 2019.12.10
"끝나지 않는 할인혜택, 무신사 아우터페스티벌 시즌2!",2019.12.01 ~ 2019.12.09
광군절 & 블랙프라이데이 알리익스프레스 최대 US$15 할인,2019.11.11 ~ 2019.12.06
뮤지컬 <아이다> 1+1 티켓 이벤트,2019.11.08 ~ 2019.12.06
Amazon.com X KB국민카드 블랙프라이데이 이벤트!,2019.11.25 ~ 2019.12.03
"18만원 청구할인 혜택 스마트폰 구입, 스마트 하게!",2019.11.01 ~ 2019.11.30
2019 해외직구 Global Festa!,2019.11.01 ~ 2019.11.30
Apple 공인리셀러 X KB국민카드 KB에서만 받을 수 있는 Apple 할인 혜택!,2019.10.18 ~ 2019.11.30
Booking.com 최대 10% 캐시백,2019.10.01 ~ 2019.11.30
KB국민 UPI와 함께하는 해외직구 캐시백,2019.11.01 ~ 2019.11.30
KB국민 군인연금증 신용카드로 10만원 이상 이용하면 캐시백!,2019.09.01 ~ 2019.11.30
KB국민 롯데월드 제휴카드 종합이용권 할인 이벤트,2019.11.01 ~ 2019.11.30
KB국민 마스터카드 해외이용수수료 캐시백,2019.11.01 ~ 2019.11.30
KB국민 비자카드 해외이용수수료 캐시백,2019.11.01 ~ 2019.11.30
KB국민 유니온페이카드 해외여행 캐시백,2019.11.01 ~ 2019.11.30
KB국민 유니온페이카드 해외이용수수료 캐시백,2019.11.01 ~ 2019.11.30
KB국민카드 X 무신사 무신사 567 할인이벤트,2019.11.01 ~ 2019.11.30
"KB국민카드 간편추천 추천하면 나는 5만원, 친구는 연회비 캐시백",2019.11.01 ~ 2019.11.30
KB국민카드 스타샵 November Festa! 최대 10만점 추가 적립!,2019.10.28 ~ 2019.11.30
PUSH 동의하세요! 최대 30만원 캐시백!,2019.11.01 ~ 2019.11.30
UNIONE에서 학원비 결제하면 최대 2만원 캐시백!,2019.11.16 ~ 2019.11.30
"가온플래티늄, BeV Ⅲ, BeV V 카드 온라인 발급 회원 연회비 최대 5만원 캐시백",2019.11.01 ~ 2019.11.30
개인사업자 전용카드 연회비 100% 캐시백,2019.11.01 ~ 2019.11.30
고등학교 학생증 체크카드 하이! 스쿨 2019 시즌 2,2019.10.07 ~ 2019.11.30
군대 갔다오니 좋다! 나라사랑카드 특별한 혜택,2019.11.01 ~ 2019.11.30
대표님의 가을 풍성한 경품 이벤트,2019.10.17 ~ 2019.11.30
"라이프샵 골프 티스캐너에서 쿠폰받고, 할인가로 부킹!",2019.10.16 ~ 2019.11.30
방탄소년단 체크카드를 Get it ! 경품이벤트,2019.10.14 ~ 2019.11.30
아고다 11월 할인,2019.11.01 ~ 2019.11.30
"온라인 신규 발급 회원, 연회비 100% 캐시백",2019.11.01 ~ 2019.11.30
외국어가 안되면 역시 시원스쿨!,2019.11.01 ~ 2019.11.30
월간 KB체크 11월 <출석 체크>,2019.11.01 ~ 2019.11.30
응모하고 나라사랑카드로 30만원 이상 이용하면 최대 100만원?!,2019.11.08 ~ 2019.11.30
"인기 뮤지컬, 콘서트 할인예매!",2019.11.04 ~ 2019.11.30
자동으로 혜택 받는 4대 사회보험 자동납부,2019.11.01 ~ 2019.11.30
체크카드 2019 컬쳐 브리즈 뮤지컬 레베카 초대,2019.11.07 ~ 2019.11.30
클릭! 다가오는 추위를 녹여줄 따뜻한 온라인쇼핑 할인 혜택,2019.11.19 ~ 2019.11.30
클릭! 쉽고 빠르고 편리한 KB국민 신용대출!,2019.11.01 ~ 2019.11.30
탄탄대로 오토카드 5만원 캐시백,2019.11.01 ~ 2019.11.30
학원비 최대 4만원 캐시백,2019.10.01 ~ 2019.11.30
해외렌터카 렌탈카스닷컴 10% 할인,2019.11.01 ~ 2019.11.30
해외에서도 5~2개월 무이자 할부,2019.11.01 ~ 2019.11.30
"해외직구, KB국민카드 X 캐치패션 최대 13% 캐시백",2019.11.11 ~ 2019.11.30
라이프샵 여행 해외호텔 최대 10% 할인,2019.11.01 ~ 2019.11.29
체크카드 온라인 신규발급 트리플 혜택!,2019.11.01 ~ 2019.11.29
합리적인 행복생활 라이프샵 해외여행 더블 혜택 찬스,2019.11.01 ~ 2019.11.29
항공권 예약 라이프샵 Easy~ 국제선 항공권 최대 10% 할인,2019.11.01 ~ 2019.11.29
유니온페이 카드 Global 혜택,2019.08.23 ~ 2019.11.20
한국타이어 특정상품 할인 및 사은품 증정 행사,2019.10.21 ~ 2019.11.20
Amazon.com X KB국민카드 아마존 제휴 기념 이벤트,2019.10.21 ~ 2019.11.17
드디어 시작된 광군제! 배송대행비 US$10 할인,2019.11.08 ~ 2019.11.17
원마운트 만원의 행복,2019.09.30 ~ 2019.11.17
KCC홈인테리어 집꾸미고 혜택 받자!,2019.09.16 ~ 2019.11.15
KB국민 나라사랑체크카드로 벅스에서 결제하면 경품이 와르르!,2019.10.15 ~ 2019.11.14
"LG전자 혼수가전, 할인+적립까지 다 가전~",2019.11.08 ~ 2019.11.14
VIP회원 무비스타(Movie Star)! 『겨울왕국 2』,2019.11.07 ~ 2019.11.11
2019 서울 경향하우징 페어 무료입장,2019.11.07 ~ 2019.11.10
now 선착순! 댕댕이 사료 특가,2019.10.24 ~ 2019.11.10
찬 바람 불 땐.. KB국민체크,2019.10.17 ~ 2019.11.06
"18만원 청구할인 혜택 스마트폰 구입, 스마트 하게!",2019.10.01 ~ 2019.10.31
2019 Global Festa!,2019.10.01 ~ 2019.10.31
80명의 행운! KB국민 Easy fly 티타늄카드로 캐리어부터 1만원 캐시백까지!,2019.09.09 ~ 2019.10.31
KB국민 롯데월드 제휴카드 종합이용권 할인 이벤트,2019.10.01 ~ 2019.10.31
KB국민 마스터카드 해외이용수수료 캐시백,2019.10.01 ~ 2019.10.31
KB국민 비자카드 해외이용수수료 캐시백,2019.10.01 ~ 2019.10.31
KB국민 아멕스카드 매치스패션 10% 캐시백,2019.10.01 ~ 2019.10.31
"KB국민 앱카드 신규회원 스타벅스 5,000원 모바일 쿠폰",2019.10.01 ~ 2019.10.31
KB국민 유니온페이카드 해외이용수수료 캐시백,2019.10.01 ~ 2019.10.31
KB국민카드 X PAYCO 캐시백 꿀 충전!,2019.10.07 ~ 2019.10.31
KB국민카드 X SAMSUNGPAY 캐시백 충전 프로젝트,2019.10.07 ~ 2019.10.31
"KB국민카드 간편추천 추천하면 나는 5만원, 친구는 연회비 캐시백",2019.10.01 ~ 2019.10.31
KT로밍에그 20% 할인,2019.05.01 ~ 2019.10.31
"PUSH 동의하세요! 알림서비스도, 쿠폰 사용도 Easy!",2019.10.01 ~ 2019.10.31
Pre-블프 몰테일 배송대행비 $5 할인,2019.10.01 ~ 2019.10.31
YOOX.COM 육스닷컴 최대 15% 즉시 할인,2019.10.10 ~ 2019.10.31
"가온플래티늄, BeV Ⅲ, BeV V 카드 온라인 발급 회원 연회비 최대 5만원 캐시백",2019.10.01 ~ 2019.10.31
가을시즌 해외여행 캐시백,2019.10.01 ~ 2019.10.31
개인사업자 전용 카드 연회비 100% 캐시백,2019.10.01 ~ 2019.10.31
공연예매는 라이프샵 컬처에서~!,2019.10.01 ~ 2019.10.31
군대 갔다오니 좋다! 나라사랑카드 특별한 혜택,2019.10.01 ~ 2019.10.31
낙엽 쌓이는 가을 포인트리는 더 쌓인다!,2019.09.25 ~ 2019.10.31
"도시가스요금 자동납부 3,000원 캐시백",2019.10.01 ~ 2019.10.31
등록하GO! 캐시백 받GO! 마스터패스 신규 등록하면 3천원 캐시백!,2019.10.01 ~ 2019.10.31
라이프샵 여행 해외호텔 최대 10% 할인,2019.10.01 ~ 2019.10.31
레진코믹스 X Liiv Mate 최대 29코인 받아가세요!,2019.10.01 ~ 2019.10.31
"명품 구매는 필웨이, 최대 2만5천원 즉시할인!",2019.10.17 ~ 2019.10.31
"반려동물, 사랑한다면 메리츠 펫보험 자동납부",2019.10.01 ~ 2019.10.31
"서울랜드 자유이용권, 너랑 나랑 더블 할인!",2019.08.31 ~ 2019.10.31
"세계 어딜 가든, 아시아나항공 전노선 5% 캐시백",2019.09.18 ~ 2019.10.31
스피드메이트 타이어 / 정비 최대 30% 할인,2019.10.01 ~ 2019.10.31
신청! 캐시백 받는 아파트관리비 자동납부,2019.09.01 ~ 2019.10.31
아고다 전세계 호텔 10% 할인,2019.09.01 ~ 2019.10.31
"온라인 신규 발급 회원, 연회비 100% 캐시백",2019.10.01 ~ 2019.10.31
월간 KB체크 10월 [쇼핑],2019.10.01 ~ 2019.10.31
익스피디아 15% 할인,2019.09.01 ~ 2019.10.31
자동으로 혜택 받는 4대 사회보험 자동납부,2019.10.01 ~ 2019.10.31
전 세계 T Galleria DFS에서의 특별 혜택,2018.11.01 ~ 2019.10.31
전기차 충전은 KB국민 그린카드! 50% 캐시백 이거슨 맞지~!,2019.10.07 ~ 2019.10.31
체크카드 온라인 신규발급 트리플 혜택!,2019.10.01 ~ 2019.10.31
체크카드 추천 이벤트 추천하고 발급하면 편의점 만원 쏜다!,2019.10.01 ~ 2019.10.31
"체크카드, 롯데월드 아쿠아리움 현장할인",2019.07.22 ~ 2019.10.31
초중고학교납입금(스쿨뱅킹) 자동납부 혜택,2019.10.01 ~ 2019.10.31
"출시! KB 라이프샵폰 18만원 청구할인, 포인트리 5만점 적립",2019.08.05 ~ 2019.10.31
클릭! 쉽고 빠르고 편리한 KB국민 신용대출!,2019.10.01 ~ 2019.10.31
탄탄대로 오토카드 5만원 캐시백,2019.10.01 ~ 2019.10.31
합리적인 행복생활 라이프샵 해외여행 더블 혜택 찬스,2019.10.01 ~ 2019.10.31
항공권 예약 라이프샵 Easy~ 국제선 항공권 최대 10% 할인,2019.10.01 ~ 2019.10.31
해외렌터카 렌탈카스닷컴 8% 할인,2019.10.01 ~ 2019.10.31
해외에서도 5~2개월 무이자 할부,2019.10.01 ~ 2019.10.31
해외직구 X 비타트라 즉시할인 * 추천상품 특가!,2019.09.18 ~ 2019.10.31
호텔스닷컴 최대 15% 할인,2019.09.01 ~ 2019.10.31
그린카드로 전기차 충전! 캐시백도 충전!,2019.07.22 ~ 2019.10.21
2019 밸런스 페스티벌 무료입장,2019.10.18 ~ 2019.10.20
카카오페이 KB국민체크카드 경품 이벤트!,2019.08.19 ~ 2019.10.18
"명품 구매는 필웨이, 최대 1만5천원 즉시할인!",2019.10.01 ~ 2019.10.16
영어가 안되면 KB국민카드와 시원스쿨!,2019.10.11 ~ 2019.10.14
「KB국민 나라사랑카드」땡큐~! 솔져 이벤트,2019.09.30 ~ 2019.10.13
유럽 아울렛 더 비스터 빌리지 쇼핑 컬렉션 가을 우대 혜택,2019.09.07 ~ 2019.10.06
전국민 웨딩 할인기간! 아이웨딩의 아이위크,2019.09.27 ~ 2019.10.06
"18만원 청구할인! 스마트폰 구입, 스마트 하게!",2019.09.01 ~ 2019.09.30
Apple 카드 등록 + 원화 결제 = 3천원 캐시백,2019.08.22 ~ 2019.09.30
Booking.com 최대 10% 캐시백,2019.07.22 ~ 2019.09.30
KB국민 국방(충성)멤버쉽카드 중추절 최대 50만원 캐시백!,2019.09.01 ~ 2019.09.30
